epoch,epoch_val_loss,step
0,3.4098751544952393,21
1,4.262365818023682,43
2,4.933326244354248,65
3,5.129406452178955,87
4,5.180915832519531,109
5,4.542906284332275,131
6,4.632505893707275,153
7,4.950968265533447,175
8,4.4734649658203125,197
9,4.688772678375244,219
10,4.500431060791016,241
11,5.119201183319092,263
12,4.711016654968262,285
13,4.322530269622803,307
14,5.15176248550415,329
15,4.93839693069458,351
16,4.715627193450928,373
17,4.520092010498047,395
18,4.668924808502197,417
19,4.938615798950195,439
20,4.662755489349365,461
21,4.890025615692139,483
22,4.484602451324463,505
23,4.543888568878174,527
24,4.42565393447876,549
25,4.668152332305908,571
26,4.449524402618408,593
27,4.81984806060791,615
28,4.613924503326416,637
29,4.322889804840088,659
30,4.754481792449951,681
31,4.284891128540039,703
32,4.320106029510498,725
33,4.208395481109619,747
34,4.50819730758667,769
35,4.337090969085693,791
36,4.1826605796813965,813
37,4.575643062591553,835
38,4.528104305267334,857
39,4.069754123687744,879
40,4.523756504058838,901
41,4.263617992401123,923
42,4.437070369720459,945
43,4.3235039710998535,967
44,4.331262588500977,989
45,4.504024982452393,1011
46,4.057022571563721,1033
47,4.149974346160889,1055
48,3.9863994121551514,1077
49,4.329854488372803,1099
50,4.280723571777344,1121
